,Road_Configuration,Light_Condition
0,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
1,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
2,"TWO-WAY,NOT DIVIDED",DAYLIGHT
3,UNKNOWN,UNKNOWN
4,"TWO-WAY,NOT DIVIDED",DAYLIGHT
5,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
6,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
8,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
9,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
10,"TWO-WAY,NOT DIVIDED",DAYLIGHT
11,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
12,"TWO-WAY,NOT DIVIDED",DAYLIGHT
13,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
14,"ONE-WAY,NOT DIVIDED",DAYLIGHT
15,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
16,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
17,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
18,"ONE-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
19,"TWO-WAY,NOT DIVIDED",DAYLIGHT
20,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
21,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
22,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
23,"TWO-WAY,NOT DIVIDED",DAYLIGHT
24,"TWO-WAY,NOT DIVIDED",DAYLIGHT
25,"TWO-WAY,NOT DIVIDED",DAYLIGHT
26,"TWO-WAY,NOT DIVIDED",DAYLIGHT
27,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
28,"TWO-WAY,NOT DIVIDED",DAYLIGHT
29,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
30,"TWO-WAY,NOT DIVIDED",DAYLIGHT
31,"TWO-WAY,NOT DIVIDED",DAYLIGHT
32,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
33,"TWO-WAY,NOT DIVIDED",DAYLIGHT
34,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
35,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
36,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
37,"TWO-WAY,NOT DIVIDED",DAYLIGHT
38,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - ROADWAY NOT LIGHTED
39,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
40,UNKNOWN,UNKNOWN
41,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
42,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
43,"TWO-WAY,NOT DIVIDED",DAYLIGHT
44,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
45,"TWO-WAY,NOT DIVIDED",DAYLIGHT
46,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
47,"TWO-WAY,NOT DIVIDED",DAYLIGHT
48,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
49,"TWO-WAY,NOT DIVIDED",DAYLIGHT
50,UNKNOWN,DAYLIGHT
51,"TWO-WAY,NOT DIVIDED",DAYLIGHT
52,UNKNOWN,UNKNOWN
53,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
54,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
55,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
56,"ONE-WAY,NOT DIVIDED",DAYLIGHT
57,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
58,"TWO-WAY,NOT DIVIDED",DAYLIGHT
59,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
60,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
61,"TWO-WAY,NOT DIVIDED",DAYLIGHT
62,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
63,"TWO-WAY,NOT DIVIDED",DAYLIGHT
64,"TWO-WAY,NOT DIVIDED",DAYLIGHT
65,"TWO-WAY,NOT DIVIDED",DAYLIGHT
66,"TWO-WAY,NOT DIVIDED",DAYLIGHT
67,"TWO-WAY,NOT DIVIDED",DAYLIGHT
68,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
69,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
70,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
71,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
72,"ONE-WAY,NOT DIVIDED",DAYLIGHT
73,"TWO-WAY,NOT DIVIDED",DAYLIGHT
74,"TWO-WAY,NOT DIVIDED",DUSK
75,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
76,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DUSK
77,"TWO-WAY,NOT DIVIDED",DAYLIGHT
78,"TWO-WAY,NOT DIVIDED",DAYLIGHT
79,"TWO-WAY,NOT DIVIDED",DAYLIGHT
80,"TWO-WAY,NOT DIVIDED",DAYLIGHT
81,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
82,"TWO-WAY,NOT DIVIDED",DAYLIGHT
83,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - ROADWAY NOT LIGHTED
84,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
85,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
86,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - ROADWAY NOT LIGHTED
87,"ONE-WAY,NOT DIVIDED",DAYLIGHT
88,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
89,"TWO-WAY,NOT DIVIDED",DAYLIGHT
90,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAWN
91,"TWO-WAY,NOT DIVIDED",DAYLIGHT
92,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
93,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
94,UNKNOWN,UNKNOWN
95,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
96,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
97,"TWO-WAY,NOT DIVIDED",DAYLIGHT
98,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
99,"TWO-WAY,NOT DIVIDED",DAYLIGHT
100,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
101,"TWO-WAY,NOT DIVIDED",DARK - UNKNOWN LIGHTING
102,"ONE-WAY,NOT DIVIDED",DAYLIGHT
103,"TWO-WAY,NOT DIVIDED",DAYLIGHT
104,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
105,"TWO-WAY,NOT DIVIDED",DARK - UNKNOWN LIGHTING
106,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
107,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
108,"TWO-WAY,NOT DIVIDED",DUSK
109,"TWO-WAY,NOT DIVIDED",DAYLIGHT
110,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
111,"TWO-WAY,NOT DIVIDED",DAYLIGHT
112,"TWO-WAY,NOT DIVIDED",DAYLIGHT
113,"TWO-WAY,NOT DIVIDED",DAYLIGHT
114,"TWO-WAY,NOT DIVIDED",DAYLIGHT
115,"TWO-WAY,NOT DIVIDED",DUSK
116,"TWO-WAY,NOT DIVIDED",DAYLIGHT
117,UNKNOWN,UNKNOWN
118,"TWO-WAY,NOT DIVIDED",DAYLIGHT
119,"TWO-WAY,NOT DIVIDED",DUSK
120,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
121,"TWO-WAY,NOT DIVIDED",DAYLIGHT
122,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
123,"TWO-WAY,NOT DIVIDED",DAYLIGHT
124,"ONE-WAY,NOT DIVIDED",DAYLIGHT
125,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
126,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
127,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
128,"TWO-WAY,NOT DIVIDED",DAYLIGHT
129,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
130,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
131,"TWO-WAY,NOT DIVIDED",DAYLIGHT
132,"TWO-WAY,NOT DIVIDED",DAYLIGHT
133,"TWO-WAY,NOT DIVIDED",DAYLIGHT
134,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
135,"TWO-WAY,NOT DIVIDED",DAYLIGHT
136,"ONE-WAY,NOT DIVIDED",DAYLIGHT
