Hour,Total_Crashes,Total_Fatality_Cases,Fatality_Rate
00,399,5.0,0.012531328320802004
01,222,0.0,0.0
02,189,1.0,0.005291005291005291
03,135,1.0,0.007407407407407408
04,120,0.0,0.0
05,119,0.0,0.0
06,390,3.0,0.007692307692307693
07,990,0.0,0.0
08,1209,4.0,0.0033085194375516956
09,1104,4.0,0.0036231884057971015
10,1188,6.0,0.005050505050505051
11,1314,2.0,0.0015220700152207
12,1668,1.0,0.0005995203836930455
13,1739,1.0,0.0005750431282346176
14,1868,1.0,0.0005353319057815846
15,1940,3.0,0.0015463917525773195
16,2004,1.0,0.000499001996007984
17,2128,3.0,0.0014097744360902255
18,1581,0.0,0.0
19,1130,1.0,0.0008849557522123894
20,841,0.0,0.0
21,695,1.0,0.0014388489208633094
22,574,1.0,0.0017421602787456446
23,345,1.0,0.002898550724637681
