Hour,Total_Crashes,Total_Injury_Cases,Injury_Rate
00,372,47,0.12634408602150538
01,184,18,0.09782608695652174
02,170,19,0.11176470588235295
03,135,19,0.14074074074074075
04,119,16,0.13445378151260504
05,123,28,0.22764227642276422
06,386,70,0.18134715025906736
07,903,128,0.14174972314507198
08,1147,147,0.12816041848299914
09,1048,134,0.12786259541984732
10,1075,138,0.1283720930232558
11,1241,147,0.11845286059629331
12,1574,173,0.10991105463786531
13,1642,196,0.11936662606577345
14,1762,190,0.10783200908059024
15,1848,231,0.125
16,1929,254,0.1316744427164334
17,1974,291,0.1474164133738602
18,1530,197,0.1287581699346405
19,1074,138,0.12849162011173185
20,803,124,0.15442092154420922
21,634,96,0.15141955835962145
22,519,62,0.11946050096339114
23,321,56,0.17445482866043613
