Weather,Vehicle,Weather_2types
CLEAR,VAN,GOOD
NONE,NONE,NONE
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLOUDY,PASSENGER CAR,BAD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,VAN,GOOD
CLOUDY,SPORT UTILITY,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PICKUP,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PICKUP,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PICKUP,GOOD
NONE,PICKUP,NONE
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
NONE,PICKUP,NONE
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
RAIN,PASSENGER CAR,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
RAIN,PASSENGER CAR,BAD
RAIN,PASSENGER CAR,BAD
CLEAR,SPORT UTILITY,GOOD
CLEAR,VAN,GOOD
CLEAR,NONE,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,NONE,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PICKUP,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,VAN,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PICKUP,GOOD
CLEAR,SPORT UTILITY,GOOD
CLOUDY,PASSENGER CAR,BAD
CLOUDY,PASSENGER CAR,BAD
CLEAR,SPORT UTILITY,GOOD
CLOUDY,SPORT UTILITY,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PICKUP,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,NONE,BAD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,SPORT UTILITY,BAD
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,PASSENGER CAR,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,NONE,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
RAIN,SPORT UTILITY,BAD
RAIN,PICKUP,BAD
CLOUDY,PASSENGER CAR,BAD
CLOUDY,PASSENGER CAR,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,NONE,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,VAN,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,SPORT UTILITY,BAD
CLEAR,PICKUP,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,NONE,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,TRUCK,GOOD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,SPORT UTILITY,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
RAIN,PASSENGER CAR,BAD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,PASSENGER CAR,BAD
CLOUDY,PASSENGER CAR,BAD
CLOUDY,PASSENGER CAR,BAD
CLEAR,PASSENGER CAR,GOOD
RAIN,PASSENGER CAR,BAD
CLEAR,VAN,GOOD
RAIN,PASSENGER CAR,BAD
CLOUDY,PICKUP,BAD
RAIN,PASSENGER CAR,BAD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
RAIN,TRUCK,BAD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,PASSENGER CAR,BAD
RAIN,PICKUP,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,SPORT UTILITY,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,TRUCK,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
NONE,NONE,NONE
CLEAR,PASSENGER CAR,GOOD
NONE,PASSENGER CAR,NONE
CLEAR,SPORT UTILITY,GOOD
CLEAR,PICKUP,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,VAN,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
NONE,PASSENGER CAR,NONE
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
RAIN,PASSENGER CAR,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,PASSENGER CAR,BAD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,SPORT UTILITY,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
RAIN,SPORT UTILITY,BAD
NONE,NONE,NONE
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
RAIN,PASSENGER CAR,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,VAN,GOOD
CLEAR,SPORT UTILITY,GOOD
RAIN,PASSENGER CAR,BAD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PICKUP,GOOD
RAIN,PICKUP,BAD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,SPORT UTILITY,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,NONE,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,VAN,GOOD
CLEAR,PASSENGER CAR,GOOD
NONE,NONE,NONE
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,VAN,GOOD
CLEAR,TRUCK,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
RAIN,PICKUP,BAD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PICKUP,GOOD
NONE,PASSENGER CAR,NONE
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
NONE,PASSENGER CAR,NONE
CLEAR,TRUCK,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
RAIN,SPORT UTILITY,BAD
CLEAR,VAN,GOOD
RAIN,VAN,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,PASSENGER CAR,BAD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,VAN,GOOD
NONE,NONE,NONE
CLEAR,PASSENGER CAR,GOOD
CLOUDY,NONE,BAD
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,VAN,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,NONE,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,TRUCK,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
NONE,SPORT UTILITY,NONE
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,VAN,GOOD
CLEAR,PICKUP,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,NONE,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,PASSENGER CAR,BAD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,SPORT UTILITY,BAD
CLEAR,PASSENGER CAR,GOOD
CLOUDY,PASSENGER CAR,BAD
CLOUDY,SPORT UTILITY,BAD
CLEAR,PICKUP,GOOD
CLEAR,VAN,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PICKUP,GOOD
CLEAR,PASSENGER CAR,GOOD
CLEAR,PICKUP,GOOD
CLEAR,SPORT UTILITY,GOOD
CLEAR,PICKUP,GOOD
CLEAR,VAN,GOOD
CLEAR,SPORT UTILITY,GOOD
